"filename", "language", "YAML", "Markdown", "C++", "CMake", "Swift", "XML", "Dart", "JSON", "Properties", "Gradle", "comment", "blank", "total"
"d:\Print In Progress Company\edconnect_admin\lib\domain\services\user_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 7, 33
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\auth\delete_account_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 9, 36
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\auth\get_registration_fields_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\auth\sign_in_usecase.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\auth\sign_out_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\auth\sign_up_usecase.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\auth\user_credential_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\auth\user_profile_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\group_management_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 14, 58
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\navigation_items_usecases.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 10, 35
"d:\Print In Progress Company\edconnect_admin\lib\domain\usecases\theme_usecases.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 19, 79
"d:\Print In Progress Company\edconnect_admin\lib\domain\utils\registration_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\Print In Progress Company\edconnect_admin\lib\l10n\app_de.arb", "JSON", 0, 0, 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 317
"d:\Print In Progress Company\edconnect_admin\lib\l10n\app_en.arb", "JSON", 0, 0, 0, 0, 0, 0, 0, 649, 0, 0, 0, 0, 649
"d:\Print In Progress Company\edconnect_admin\lib\l10n\app_localizations.dart", "Dart", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 704, 178, 1090
"d:\Print In Progress Company\edconnect_admin\lib\l10n\app_localizations_de.dart", "Dart", 0, 0, 0, 0, 0, 0, 327, 0, 0, 0, 3, 163, 493
"d:\Print In Progress Company\edconnect_admin\lib\l10n\app_localizations_en.dart", "Dart", 0, 0, 0, 0, 0, 0, 327, 0, 0, 0, 3, 163, 493
"d:\Print In Progress Company\edconnect_admin\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 8, 57
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\auth_pages\access_denied_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\auth_pages\auth_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 6, 31
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\auth_pages\forgot_password_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 1, 12, 153
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\auth_pages\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 282, 0, 0, 0, 12, 19, 313
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\auth_pages\register_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 535, 0, 0, 0, 18, 33, 586
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\auth_pages\user_not_found.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 3, 59
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\auth_pages\verify_email_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 1, 13, 127
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\home_page\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 12, 12, 242
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\home_page\main_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 3, 8, 97
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\sample_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\settings_pages\settings_change_email.dart", "Dart", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 9, 149
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\settings_pages\settings_change_name_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 10, 178
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\settings_pages\settings_main_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 381, 0, 0, 0, 6, 22, 409
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\settings_pages\settings_update_password_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 3, 16, 213
"d:\Print In Progress Company\edconnect_admin\lib\presentation\pages\settings_pages\submit_registration_update.dart", "Dart", 0, 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 14, 258
"d:\Print In Progress Company\edconnect_admin\lib\presentation\providers\action_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 322, 0, 0, 0, 12, 61, 395
"d:\Print In Progress Company\edconnect_admin\lib\presentation\providers\navigation_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 6, 22, 151
"d:\Print In Progress Company\edconnect_admin\lib\presentation\providers\state_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 8, 19, 109
"d:\Print In Progress Company\edconnect_admin\lib\presentation\providers\theme_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 13, 24, 150
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\buttons.dart", "Dart", 0, 0, 0, 0, 0, 0, 320, 0, 0, 0, 1, 17, 338
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\buttons\base_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 15, 227
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\buttons\base_icon_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 15, 24, 259
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\buttons\toggle_theme_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 8, 45
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\card.dart", "Dart", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 13, 218
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\cards\base_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 19, 27, 163
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\checkbox.dart", "Dart", 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 29, 32, 273
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\dialogs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\dropdown\single_select_dropdown.dart", "Dart", 0, 0, 0, 0, 0, 0, 618, 0, 0, 0, 50, 67, 735
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\dropdown_multi_select.dart", "Dart", 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 10, 11, 206
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\forms.dart", "Dart", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 3, 177
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\glassmorphism.dart", "Dart", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 5, 94
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\input\base_input.dart", "Dart", 0, 0, 0, 0, 0, 0, 295, 0, 0, 0, 46, 58, 399
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\input\file_input.dart", "Dart", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 22, 31, 293
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\loading_progress.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 4, 63
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\media_selector_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 359, 0, 0, 0, 9, 33, 401
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\navigation\app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 11, 16, 201
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\navigation\navigation_sidebar.dart", "Dart", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 16, 21, 293
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\permission_aware_widgets.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 2, 11, 63
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\popups\account_popup_menu.dart", "Dart", 0, 0, 0, 0, 0, 0, 330, 0, 0, 0, 15, 17, 362
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\signature_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 2, 9, 94
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\snackbars.dart", "Dart", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 4, 134
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\common\switch.dart", "Dart", 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 30, 39, 363
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\registration_card_builder.dart", "Dart", 0, 0, 0, 0, 0, 0, 363, 0, 0, 0, 6, 7, 376
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\text_editor\dialogs\insert_link_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 7, 84
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\text_editor\dialogs\insert_table_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 7, 19, 149
"d:\Print In Progress Company\edconnect_admin\lib\presentation\widgets\text_editor\text_editor.dart", "Dart", 0, 0, 0, 0, 0, 0, 1464, 0, 0, 0, 8, 42, 1514
"d:\Print In Progress Company\edconnect_admin\linux\CMakeLists.txt", "CMake", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 28, 146
"d:\Print In Progress Company\edconnect_admin\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\Print In Progress Company\edconnect_admin\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"d:\Print In Progress Company\edconnect_admin\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Print In Progress Company\edconnect_admin\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Print In Progress Company\edconnect_admin\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Print In Progress Company\edconnect_admin\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Print In Progress Company\edconnect_admin\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Print In Progress Company\edconnect_admin\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 3, 4, 53
"d:\Print In Progress Company\edconnect_admin\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\Print In Progress Company\edconnect_admin\macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\Print In Progress Company\edconnect_admin\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\Print In Progress Company\edconnect_admin\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
